district_id,province_name,district_name,pi_scenario,year,month,V_TR,pi_global,seasonal_multiplier,M_climate,eta,rho,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month,eta_sens,scale_factor
TUR.10.4_1,Artvin,Hopa,high,2024,1,0.06705690518671184,1,0.6281034622015411,1,0.25,1.0911248368792599,31,7,0.0068935097457859,0.0482545682205013,0.2136988021193629,0.2136988021193629,0.04710881961328428,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,2,0.06705690518671184,1,0.6545846179366359,1,0.25,1.0911248368792599,29,7,0.007184143560316563,0.05028900492221594,0.20834016324918034,0.20834016324918034,0.04904544576378045,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,3,0.06705690518671184,1,0.6517097770197132,1,0.25,1.0911248368792599,31,7,0.007152591841418329,0.0500681428899283,0.2217303470839682,0.2217303470839682,0.048835392812811684,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,4,0.06705690518671184,1,0.8013462854757657,1,0.25,1.0911248368792599,30,7,0.008794870210258437,0.061564091471809065,0.2638461063077531,0.2638461063077531,0.05970732093357323,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,5,0.06705690518671184,1,1.103207914941687,1,0.25,1.0911248368792599,31,7,0.012107837276716734,0.08475486093701715,0.3753429555782188,0.3753429555782188,0.08126252475739804,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,6,0.06705690518671184,1,1.2494033544433176,1,0.25,1.0911248368792599,30,7,0.01371234950701323,0.09598644654909261,0.41137048521039693,0.41137048521039693,0.09152367102540993,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,7,0.06705690518671184,1,1.4337240087847871,1,0.25,1.0911248368792599,31,7,0.015735290476959433,0.11014703333871602,0.48779400478574236,0.48779400478574236,0.104297572504364,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,8,0.06705690518671184,1,1.5342554185233497,1,0.25,1.0911248368792599,31,7,0.016838634582660297,0.11787044207862207,0.5219976720624693,0.5219976720624693,0.11118880231325212,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,9,0.06705690518671184,1,1.3207324366221658,1,0.25,1.0911248368792599,30,7,0.01449519461573845,0.10146636231016916,0.4348558384721535,0.4348558384721535,0.09648842912695299,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,10,0.06705690518671184,1,1.243603460048037,1,0.25,1.0911248368792599,31,7,0.01364869498041938,0.09554086486293567,0.4231095443930008,0.4231095443930008,0.09111878041168964,0.15,0.6
