district_id,year,species,Lambda_import_year,p_ge1_major_year_mean,p_ge1_major_year_p2_5,p_ge1_major_year_p97_5,mean_q_import_year_mean,mean_q_import_year_p2_5,mean_q_import_year_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_year_mean,mean_p_est_year_p2_5,mean_p_est_year_p97_5,mean_temp_c_year,mean_rh_year
TUR.10.4_1,2025,aegypti,1.3225350660816553,1.033858876398064e-9,9.112310517256362e-10,1.152691042616283e-9,0.010766404833184121,0.010766404833184121,0.010766404833184121,8.615490686390576e-11,7.593592158672136e-11,9.605758782408603e-11,4.800712735860321e-9,4.231291785700142e-9,5.352508613184111e-9,11.25774147442437,82.59211403038665
TUR.10.4_1,2026,aegypti,1.5051332508328426,4.104249416603256e-8,3.558989631891052e-8,4.656093237076497e-8,0.012242466130653282,0.012242466130653282,0.012242466130653282,3.4202078471126668e-9,2.965824698971773e-9,3.880077699916622e-9,2.032063220166654e-7,1.7620984533635772e-7,2.305288901709168e-7,12.653347005130604,78.06356292870208
TUR.10.4_1,2027,aegypti,1.4328622598712504,6.78343818782956e-10,5.963799704078454e-10,7.589750189440636e-10,0.011658553016149145,0.011658553016149145,0.011658553016149145,5.652865148894382e-11,4.9698331908489526e-11,6.32479131960172e-11,2.9145785826005057e-9,2.5630986691856556e-9,3.2600908068021923e-9,12.084069478824306,82.12509335981373
TUR.10.4_1,2028,aegypti,1.3629798417293557,6.493910964522342e-13,5.665412583510942e-13,7.357447984190912e-13,0.011077932470278606,0.011077932470278606,0.011077932470278606,5.411597817289273e-14,4.721103484183784e-14,6.130975995409154e-14,2.936546135886194e-12,2.5629394440063176e-12,3.3255386870193843e-12,12.151536239499418,80.23289734032318
TUR.10.4_1,2029,aegypti,1.2849942667939707,0.00055203411640061535,5.191768295058907e-4,5.821906037099145e-4,0.010462625849538942,0.010462625849538942,0.010462625849538942,4.600284303338481e-5,4.3264735792162514e-5,4.851588364249691e-5,0.0026375764749729212,0.0024805868897878405,0.0027816618478323555,11.571021723128426,82.09587913658783
TUR.10.4_1,2030,aegypti,1.5180704965675609,2.6737195845116802e-8,2.394544786343822e-8,2.9782568078395855e-8,0.012346950975495707,0.012346950975495707,0.012346950975495707,2.2280996536172514e-9,1.995453995202173e-9,2.4818806755062597e-9,1.2774275555052506e-7,1.1429363593213708e-7,1.4240734916085016e-7,12.018559153690505,82.68236404564544
TUR.10.4_1,2031,aegypti,1.4522133537422333,1.5104100626141904e-4,1.3809716397675533e-4,1.6316749766729922e-4,0.011814938707765649,0.011814938707765649,0.011814938707765649,1.2586750521785686e-5,1.1508096998062647e-5,1.3597291472273994e-5,6.392937027254393e-4,5.845078067195404e-4,6.906200927158645e-4,12.263408753588367,81.00572067406341
TUR.10.4_1,2032,aegypti,1.2827021182947127,2.9156300385135836e-10,2.561881623508455e-10,3.2771770019923707e-10,0.010429352935296074,0.010429352935296074,0.010429352935296074,2.4296917105665884e-11,2.1349016210959752e-11,2.7309808993142447e-11,1.6571508015724342e-9,1.4560916995291312e-9,1.8626425596357518e-9,11.321999185596473,83.34326924787526
TUR.10.4_1,2033,aegypti,1.4769238144150556,3.069037912695194e-12,2.7889440756823093e-12,3.360645095540349e-12,0.012014595004727588,0.012014595004727588,0.012014595004727588,2.5575319799299657e-13,2.3241069230334236e-13,2.800543343536989e-13,1.4386526784685809e-11,1.305261061272193e-11,1.5819991150411994e-11,12.090877769703237,81.70063390241627
TUR.10.4_1,2034,aegypti,1.5033968243868066,1.3504901264873337e-4,1.251211188887408e-4,1.4564633373703172e-4,0.0122284413004382,0.0122284413004382,0.0122284413004382,1.1254084389747248e-5,1.0426759909607516e-5,1.2137194480531493e-5,5.523388171957063e-4,5.117346019034815e-4,5.956809283572397e-4,12.198136015052167,81.62732241458261
TUR.10.4_1,2035,aegypti,1.454308431117209,1.676464744804207e-12,1.4769213629861612e-12,1.9058671307803367e-12,0.011831868361819486,0.011831868361819486,0.011831868361819486,1.3970530375378104e-13,1.2307564581729813e-13,1.588230949061702e-13,8.400686035692218e-12,7.40074113103617e-12,9.550260119765378e-12,11.97449657650249,81.1122626255608
TUR.10.4_1,2036,aegypti,1.609292910577427,1.3981468316437429e-11,1.2367085133746514e-11,1.5898218852505862e-11,0.01306491730320078,0.01306491730320078,0.01306491730320078,1.1651233835761312e-12,1.0305965470218967e-12,1.324850308921399e-12,6.335216448660752e-11,5.603711106250131e-11,7.205545396460344e-11,13.36302649310685,81.32179377383554
TUR.10.4_1,2037,aegypti,1.6029774939378818,0.0015306829929670359,0.0014755259679145648,0.0015852111371396304,0.01303237074477188,0.01303237074477188,0.01303237074477188,1.2755742908613244e-4,1.2296098932073214e-4,1.3210141459723962e-4,0.005878334770365444,0.0056666023196863735,0.006087394259378744,13.86988756389873,80.50319661603932
