district_id,species,year_min,year_max,Lambda_import,p_ge1_major_mean,p_ge1_major_p2_5,p_ge1_major_p97_5,mean_q_import_mean,mean_q_import_p2_5,mean_q_import_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_mean,mean_p_est_p2_5,mean_p_est_p97_5,scenario,m_val,beta_vh,beta_hv,ip_days,gamma_day,p_base_mean,p_base_p2_5,p_base_p97_5,delta_abs,delta_pct
TUR.10.4_1,aegypti,2025,2075,1.3802547424979463,7.054806993609386e-4,7.054806993609386e-4,7.054806993609386e-4,2.2158140613665075e-4,2.2158140613665075e-4,2.2158140613665075e-4,1.1531078570009627e-6,1.1531078570009627e-6,1.1531078570009627e-6,0.002801672755431057,0.002801672755431057,0.002801672755431057,m_080,0.8,0.3,0.33,5,0.2,0.0023109943816542744,0.0023109943816542744,0.0023109943816542744,-0.0016055136822933358,-69.47285095276018
TUR.39.3_1,albopictus,2025,2075,0.10815124386811228,3.8112846212357e-12,3.8112846212357e-12,3.8112846212357e-12,1.7364277115849797e-5,1.7364277115849797e-5,1.7364277115849797e-5,6.228584367376252e-15,6.228584367376252e-15,6.228584367376252e-15,2.1842528729802083e-10,2.1842528729802083e-10,2.1842528729802083e-10,m_080,0.8,0.3,0.33,5,0.2,1.7023367160362568e-9,1.7023367160362568e-9,1.7023367160362568e-9,-1.698525431415021e-9,-99.77611452626658
TUR.40.25_1,albopictus,2025,2075,289.5792406948352,0.042372368076056266,0.042372368076056266,0.042372368076056266,0.04527248508707732,0.04527248508707732,0.04527248508707732,7.068432303223723e-5,7.068432303223723e-5,7.068432303223723e-5,9.260538649695423e-4,9.260538649695423e-4,9.260538649695423e-4,m_080,0.8,0.3,0.33,5,0.2,0.4932948687820319,0.4932948687820319,0.4932948687820319,-0.4509225007059756,-91.41033674632058
TUR.59.4_1,albopictus,2025,2075,89.53812911587919,9.568363690259929e-8,9.568363690259929e-8,9.568363690259929e-8,0.014257595668631126,0.014257595668631126,0.014257595668631126,1.563458190611411e-10,1.563458190611411e-10,1.563458190611411e-10,6.991077001619442e-9,6.991077001619442e-9,6.991077001619442e-9,m_080,0.8,0.3,0.33,5,0.2,3.694971262924174e-5,3.694971262924174e-5,3.694971262924174e-5,-3.685402899233914e-5,-99.74104362363329
TUR.81.6_1,aegypti,2025,2075,0.18659150451509787,1.4027996545262766e-5,1.4027996545262766e-5,1.4027996545262766e-5,2.9958074983035623e-5,2.9958074983035623e-5,2.9958074983035623e-5,2.2921713395677792e-8,2.2921713395677792e-8,2.2921713395677792e-8,4.2932921553993057e-4,4.2932921553993057e-4,4.2932921553993057e-4,m_080,0.8,0.3,0.33,5,0.2,2.1152392587020508e-4,2.1152392587020508e-4,2.1152392587020508e-4,-1.974959293249423e-4,-93.36812774840865
TUR.10.4_1,aegypti,2025,2075,1.3802547424979463,0.004419326426702175,0.004419326426702175,0.004419326426702175,2.2158140613665075e-4,2.2158140613665075e-4,2.2158140613665075e-4,7.23667416814599e-6,7.23667416814599e-6,7.23667416814599e-6,0.019000687803898,0.019000687803898,0.019000687803898,m_120,1.2,0.3,0.33,5,0.2,0.0023109943816542744,0.0023109943816542744,0.0023109943816542744,0.0021083320450479004,91.23051366047447
TUR.39.3_1,albopictus,2025,2075,0.10815124386811228,1.8711085614242506e-7,1.8711085614242506e-7,1.8711085614242506e-7,1.7364277115849797e-5,1.7364277115849797e-5,1.7364277115849797e-5,3.057367172417193e-10,3.057367172417193e-10,3.057367172417193e-10,1.0748733367439909e-5,1.0748733367439909e-5,1.0748733367439909e-5,m_120,1.2,0.3,0.33,5,0.2,1.7023367160362568e-9,1.7023367160362568e-9,1.7023367160362568e-9,1.854085194263888e-7,10891.41282566568
TUR.40.25_1,albopictus,2025,2075,289.5792406948352,0.8578097518436415,0.8578097518436415,0.8578097518436415,0.04527248508707732,0.04527248508707732,0.04527248508707732,0.003161621190551487,0.003161621190551487,0.003161621190551487,0.04580920412261611,0.04580920412261611,0.04580920412261611,m_120,1.2,0.3,0.33,5,0.2,0.4932948687820319,0.4932948687820319,0.4932948687820319,0.3645148830616096,73.8939133832091
TUR.59.4_1,albopictus,2025,2075,89.53812911587919,0.0027015351990020697,0.0027015351990020697,0.0027015351990020697,0.014257595668631126,0.014257595668631126,0.014257595668631126,4.419810705132803e-6,4.419810705132803e-6,4.419810705132803e-6,1.9871502674491566e-4,1.9871502674491566e-4,1.9871502674491566e-4,m_120,1.2,0.3,0.33,5,0.2,3.694971262924174e-5,3.694971262924174e-5,3.694971262924174e-5,0.002664585486372828,7211.383517673407
TUR.81.6_1,aegypti,2025,2075,0.18659150451509787,5.980042756332793e-4,5.980042756332793e-4,5.980042756332793e-4,2.9958074983035623e-5,2.9958074983035623e-5,2.9958074983035623e-5,9.774178400724138e-7,9.774178400724138e-7,9.774178400724138e-7,0.019442713383967747,0.019442713383967747,0.019442713383967747,m_120,1.2,0.3,0.33,5,0.2,2.1152392587020508e-4,2.1152392587020508e-4,2.1152392587020508e-4,3.864803497630742e-4,182.71235661549966
TUR.10.4_1,aegypti,2025,2075,1.3802547424979463,0.013350990371895355,0.013350990371895355,0.013350990371895355,2.2158140613665075e-4,2.2158140613665075e-4,2.2158140613665075e-4,2.196031531469359e-5,2.196031531469359e-5,2.196031531469359e-5,0.06081197659039504,0.06081197659039504,0.06081197659039504,m_200,2,0.3,0.33,5,0.2,0.0023109943816542744,0.0023109943816542744,0.0023109943816542744,0.01103999599024108,477.71626265652543
TUR.39.3_1,albopictus,2025,2075,0.10815124386811228,3.156731594377016e-4,3.156731594377016e-4,3.156731594377016e-4,1.7364277115849797e-5,1.7364277115849797e-5,1.7364277115849797e-5,5.158861383928e-7,5.158861383928e-7,5.158861383928e-7,0.01929078219611639,0.01929078219611639,0.01929078219611639,m_200,2,0.3,0.33,5,0.2,1.7023367160362568e-9,1.7023367160362568e-9,1.7023367160362568e-9,3.1567145710098554e-4,18543420.589317907
TUR.40.25_1,albopictus,2025,2075,289.5792406948352,0.9979883779316443,0.9979883779316443,0.9979883779316443,0.04527248508707732,0.04527248508707732,0.04527248508707732,0.00997649522390291,0.00997649522390291,0.00997649522390291,0.15235592197514886,0.15235592197514886,0.15235592197514886,m_200,2,0.3,0.33,5,0.2,0.4932948687820319,0.4932948687820319,0.4932948687820319,0.5046935091496124,102.31071537308392
TUR.59.4_1,albopictus,2025,2075,89.53812911587919,0.43666405561029853,0.43666405561029853,0.43666405561029853,0.014257595668631126,0.014257595668631126,0.014257595668631126,9.354960903953196e-4,9.354960903953196e-4,9.354960903953196e-4,0.04517763917703681,0.04517763917703681,0.04517763917703681,m_200,2,0.3,0.33,5,0.2,3.694971262924174e-5,3.694971262924174e-5,3.694971262924174e-5,0.4366271058976693,1181679.300942995
TUR.81.6_1,aegypti,2025,2075,0.18659150451509787,0.0022310050021908667,0.0022310050021908667,0.0022310050021908667,2.9958074983035623e-5,2.9958074983035623e-5,2.9958074983035623e-5,3.6494650155343446e-6,3.6494650155343446e-6,3.6494650155343446e-6,0.07722459235190032,0.07722459235190032,0.07722459235190032,m_200,2,0.3,0.33,5,0.2,2.1152392587020508e-4,2.1152392587020508e-4,2.1152392587020508e-4,0.0020194810763206616,954.7293848733934
TUR.10.4_1,aegypti,2025,2075,1.3802547424979463,7.054806993609386e-4,7.054806993609386e-4,7.054806993609386e-4,2.2158140613665075e-4,2.2158140613665075e-4,2.2158140613665075e-4,1.1531078570009625e-6,1.1531078570009625e-6,1.1531078570009625e-6,0.0028016727554310565,0.0028016727554310565,0.0028016727554310565,beta_minus_20,1,0.24,0.33,5,0.2,0.0023109943816542744,0.0023109943816542744,0.0023109943816542744,-0.0016055136822933358,-69.47285095276018
TUR.39.3_1,albopictus,2025,2075,0.10815124386811228,3.8112846212357e-12,3.8112846212357e-12,3.8112846212357e-12,1.7364277115849797e-5,1.7364277115849797e-5,1.7364277115849797e-5,6.228584367376252e-15,6.228584367376252e-15,6.228584367376252e-15,2.1842528729802083e-10,2.1842528729802083e-10,2.1842528729802083e-10,beta_minus_20,1,0.24,0.33,5,0.2,1.7023367160362568e-9,1.7023367160362568e-9,1.7023367160362568e-9,-1.698525431415021e-9,-99.77611452626658
TUR.40.25_1,albopictus,2025,2075,289.5792406948352,0.042372368076056155,0.042372368076056155,0.042372368076056155,0.04527248508707732,0.04527248508707732,0.04527248508707732,7.068432303223715e-5,7.068432303223715e-5,7.068432303223715e-5,9.260538649695412e-4,9.260538649695412e-4,9.260538649695412e-4,beta_minus_20,1,0.24,0.33,5,0.2,0.4932948687820319,0.4932948687820319,0.4932948687820319,-0.4509225007059757,-91.41033674632061
TUR.59.4_1,albopictus,2025,2075,89.53812911587919,9.568363690259929e-8,9.568363690259929e-8,9.568363690259929e-8,0.014257595668631126,0.014257595668631126,0.014257595668631126,1.563458190611411e-10,1.563458190611411e-10,1.563458190611411e-10,6.991077001619442e-9,6.991077001619442e-9,6.991077001619442e-9,beta_minus_20,1,0.24,0.33,5,0.2,3.694971262924174e-5,3.694971262924174e-5,3.694971262924174e-5,-3.685402899233914e-5,-99.74104362363329
TUR.81.6_1,aegypti,2025,2075,0.18659150451509787,1.4027996545262766e-5,1.4027996545262766e-5,1.4027996545262766e-5,2.9958074983035623e-5,2.9958074983035623e-5,2.9958074983035623e-5,2.2921713395677792e-8,2.2921713395677792e-8,2.2921713395677792e-8,4.2932921553993057e-4,4.2932921553993057e-4,4.2932921553993057e-4,beta_minus_20,1,0.24,0.33,5,0.2,2.1152392587020508e-4,2.1152392587020508e-4,2.1152392587020508e-4,-1.974959293249423e-4,-93.36812774840865
TUR.10.4_1,aegypti,2025,2075,1.3802547424979463,0.004419326426702175,0.004419326426702175,0.004419326426702175,2.2158140613665075e-4,2.2158140613665075e-4,2.2158140613665075e-4,7.23667416814599e-6,7.23667416814599e-6,7.23667416814599e-6,0.019000687803898002,0.019000687803898002,0.019000687803898002,beta_plus_20,1,0.36,0.33,5,0.2,0.0023109943816542744,0.0023109943816542744,0.0023109943816542744,0.0021083320450479004,91.23051366047447
